,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
14044,150.1997681,2.32866,1,0.0002091,77490000.0,0.5451,0.126468,0.293875,0.369918,0,,
14045,150.1549988,2.3286023,1,0.007775,914736000000.0,3.4798,0.322874,0.433533,0.67978,0,,
14046,150.2053833,2.3289938,1,0.00253,3785640000.0,1.0197,0.0936832,0.182404,0.388076,0,,
14049,150.2074127,2.3288839,1,0.006447,44812200000.0,1.5963,0.147163,0.287595,0.241193,0,,
14053,150.2218475,2.3261714,1,0.5045,511248000000.0,0.8775,2.45495,10.698,45.1869,0,,
14056,150.0582733,2.328944,1,0.0003175,1214040000.0,1.3141,0.104568,0.194924,0.446074,0,,
14059,150.2245178,2.3291526,1,6.443e-05,39469300.0,0.6706,0.139516,0.210309,0.306899,0,,
14060,150.2118225,2.3290486,1,0.004144,239695000000.0,3.158,0.150904,0.289991,1.2519,0,,
14061,150.042511,2.3269284,1,0.09392,10338700000.0,0.3473,2.10143,9.5853,41.8575,0,,
14062,150.1339417,2.3291092,1,0.00544,37345300000.0,1.5837,0.117455,0.187272,0.191989,0,,
14064,150.1126556,2.3285954,1,0.02021,142988000000.0,1.6217,0.202449,0.715925,2.39134,0,,
14070,150.0684814,2.3265214,1,0.01357,11876200000.0,0.7926,3.31501,15.5318,34.4905,0,,
14072,150.1545258,2.3290052,1,0.00179,1627940000.0,0.812,0.200255,0.311508,0.321496,0,,
14073,150.068573,2.3292458,1,0.01155,1261240000000.0,3.4501,0.1234,0.11882,0.105878,0,,
14074,150.1190796,2.324508,1,0.2647,129799000000.0,0.5993,4.30843,23.8268,106.954,0,,
14075,150.0411682,2.3281302,1,0.2129,1776980000000.0,2.0759,0.460042,1.99743,12.7155,0,,
14076,150.188324,2.328397,1,0.01299,133720000000.0,2.2754,0.598832,0.97111,1.53095,0,,
14077,150.0626068,2.3282473,1,0.009815,71314700000.0,1.9152,0.420539,1.18489,3.00104,0,,
14080,150.158844,2.3290796,1,0.007016,766136000000.0,3.4378,0.161978,0.318961,0.350381,0,,
14081,150.1524811,2.3288641,1,0.01348,8717920000.0,0.6851,0.382967,0.702255,0.90564,0,,
14085,150.1593018,2.329212,1,0.007008,855322000000.0,3.5075,0.0780676,0.0772154,0.0460376,0,,
14087,150.1080017,2.3294666,1,0.04091,46048700000.0,0.9202,0.0810971,0.211474,0.417986,0,,
14089,150.1553345,2.3287034,1,0.01733,151275000000.0,2.1142,0.661379,1.10376,1.50599,0,,
14094,150.2032166,2.3290606,1,0.007686,207745000000.0,2.7885,0.602103,0.854824,1.31165,0,,
14096,150.1176453,2.3291657,1,0.008718,17845700000.0,1.1266,0.106889,0.293603,0.620529,0,,
14097,150.0633087,2.3274045,1,0.007239,1864690000.0,0.4773,1.41895,2.77073,4.97856,0,,
14098,150.1285095,2.3290279,1,0.009896,2660120000.0,0.4854,0.312503,0.530177,0.654604,0,,
14099,150.1884308,2.3278944,1,0.03687,41501300000.0,0.923,1.50336,3.27638,5.57267,0,,
14105,150.179306,2.3286405,1,0.003663,64291500000.0,2.5431,1.25971,1.8084,1.46869,0,,
14106,150.132782,2.3285344,1,0.01846,587305000000.0,2.8751,0.689957,1.8192,4.19464,0,,
