Seq,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
20352,53.060894,-27.765152,1,0.006024,36728900000.0,1.4933,0.115364,0.144305,0.129886,0,,
20361,53.1491585,-27.7636261,1,0.006766,5129470000.0,0.7347,1.68982,2.66844,3.40898,0,,
20364,53.0891647,-27.7640514,1,9.26e-05,651448000.0,1.8712,0.87052,1.23277,1.26831,0,,
20368,53.0230484,-27.7642803,1,0.0172,38243900000.0,1.156,0.664335,1.23631,2.30858,0,,
20369,53.0928459,-27.7646732,1,0.003199,3781700000.0,0.9375,0.0884919,0.140976,0.196884,0,,
20371,53.0890732,-27.7649536,1,0.009862,25580700000.0,1.2143,0.172123,0.281015,0.352485,0,,
20374,53.0600967,-27.7613087,1,0.2724,18338000000.0,0.302,1.55417,9.5182,52.0556,0,0.0,
20375,53.0202599,-27.7640572,1,0.008152,6180230000.0,0.7414,0.636392,1.05024,1.21751,0,,
20379,53.1295204,-27.7603302,1,0.02945,9707580000.0,0.3365,6.05926,13.6349,25.3323,0,,
20385,53.0647087,-27.7646618,1,1.936e-05,5309630000.0,4.2499,0.344375,0.328575,0.507231,0,,
20392,53.0175934,-27.7545033,1,0.05961,4012960000.0,0.2885,15.7574,104.495,343.421,0,,
20394,53.1411285,-27.7643299,1,0.006988,2084760000000.0,4.5277,0.256561,0.85877,2.28876,0,,
20396,53.0136261,-27.7642498,1,0.001893,30912400000.0,2.536,0.357112,0.60861,0.715155,0,,
20398,53.0942993,-27.7629795,1,0.06888,65695800000.0,0.8054,0.493303,2.39955,8.91767,0,,
