,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
8062,34.2403946,-5.2283521,1,0.004371,26650400000.0,1.4856,0.122651,0.199848,0.225156,0,,
8066,34.2303238,-5.2286553,1,0.007182,1626170000.0,0.4558,0.051938,0.0836797,0.138098,0,,
8072,34.2400208,-5.2281003,1,0.001164,535949000.0,0.5897,0.201725,0.450304,0.703377,0,,
8076,34.2307739,-5.2285547,1,0.001128,2309010000.0,1.1231,0.144338,0.267794,0.274233,0,,
8077,34.3756981,-5.2261162,1,0.08052,28769800000.0,0.5435,7.14886,11.6309,18.9309,0,,
8078,34.2525826,-5.2279472,1,0.02169,425084000000.0,2.6278,0.254581,0.657298,1.71428,0,,
8079,34.2819214,-5.2272034,1,0.07784,38169700000.0,0.6063,1.37759,3.13817,8.34332,0,,
8082,34.3054695,-5.2284713,1,0.002275,28067400000.0,2.3914,0.157268,0.224007,0.139647,0,,
8084,34.3375473,-5.222826,1,0.4875,50951300000.0,0.3456,18.5331,44.7421,108.485,0,,
8085,34.3474541,-5.2270951,1,0.03276,108910000000.0,1.2736,2.292,4.24849,7.35778,0,,
8088,34.3829193,-5.2265115,1,0.00992,41531100000.0,1.3309,1.12925,4.97522,16.822,0,,
8089,34.2610321,-5.2265453,1,0.03371,19062500000.0,0.6496,2.70672,5.43154,10.0042,0,,
8092,34.2741356,-5.2273474,1,0.02021,1381290000000.0,3.236,1.44343,4.89179,12.6617,0,,
8095,34.3970299,-5.2251406,1,0.01013,5728370000.0,0.6258,9.36872,46.7688,134.962,0,,
8098,34.3857269,-5.2272954,1,0.05691,379515000000.0,1.5529,0.83488,1.98716,4.38685,0,,
8106,34.3505402,-5.2271819,1,0.04928,312073000000.0,1.5111,1.63937,3.53945,7.99919,0,,
8107,34.3286896,-5.2263165,1,0.1642,779608000000.0,1.3699,2.0417,6.73194,23.158,0,,
8109,34.3849487,-5.2271609,1,0.005277,34022500000.0,1.5345,1.09178,1.46937,1.6275,0,,
8111,34.2889252,-5.2265153,1,0.04668,46327200000.0,0.8628,0.959673,2.68276,8.64373,0,,
8113,34.3845978,-5.2262111,1,0.006748,47355300000.0,1.7647,2.06643,4.69289,9.3913,0,,
8114,34.4037056,-5.228179,1,0.01972,18250200000.0,0.8218,0.0675441,0.19048,0.31694,0,,
8115,34.2494278,-5.2279577,1,0.006723,8142510000.0,0.9479,0.197309,0.323561,0.411832,0,,
8118,34.3956871,-5.2247543,1,0.0576,30781400000.0,0.6274,2.33337,10.0667,35.2188,0,,
8121,34.2363777,-5.2281003,1,0.03086,220827000000.0,1.688,0.108128,0.224818,0.303046,0,,
8123,34.3572464,-5.2272544,1,0.0007873,43167000000.0,3.1436,0.369933,0.817002,2.82489,0,,
8124,34.3225174,-5.2269807,1,0.01983,138749000000.0,1.855,0.584138,2.9552,6.89779,0,,
8126,34.3462601,-5.2281146,1,0.01373,194475000000.0,2.4586,0.136606,0.199539,0.418241,0,,
8129,34.2317429,-5.2276211,1,0.06959,663759000000.0,2.2078,0.209991,0.718528,3.33735,0,,
8132,34.3917999,-5.2249575,1,0.02505,5418860000.0,0.4433,2.78365,12.1512,42.3926,0,,
8133,34.2694054,-5.2274828,1,0.01452,117608000000.0,2.0384,0.37083,0.904478,2.16726,0,,
8143,34.3043327,-5.2257867,1,0.04156,211601000000.0,1.3939,2.22472,5.05579,10.5472,0,,
8150,34.3843155,-5.2257462,1,0.004298,2107570000.0,0.6046,0.921942,5.02682,19.1287,0,,
8151,34.2785149,-5.225143,1,0.2334,121266000000.0,0.5602,5.07583,14.8121,43.2626,0,,
